book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,image_url,small_image_url
1,2767052,2767052,2792775,272,439023483,Suzanne Collins,2008.0,The Hunger Games,eng,4.34,4780653,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg, https://images.gr-assets.com/books/1447303603s/2767052.jpg
2,3,3,4640799,491,439554934,"J.K. Rowling, Mary GrandPré",1997.0, Harry Potter and the Philosopher's Stone,eng,4.44,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg, https://images.gr-assets.com/books/1474154022s/3.jpg
3,41865,41865,3212258,226,316015849,Stephenie Meyer,2005.0,"Twilight",en-US,3.57,3866839,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg
4,2657,2657,3275794,487,61120081,Harper Lee,1960.0,To Kill a Mockingbird,eng,4.25,3198671,3340896,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg
5,4671,4671,245494,1356,743273567,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng,3.89,2683664,2773745,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg
6,11870085,11870085,16827462,226,525478817,John Green,2012.0,The Fault in Our Stars,eng,4.26,2346404,2478609,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7,5907,5907,1540236,969,618260307,J.R.R. Tolkien,1937.0,The Hobbit,en-US,4.25,2071616,2196809,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg
8,5107,5107,3036731,360,316769177,J.D. Salinger,1951.0,The Catcher in the Rye,eng,3.79,2044241,2120637,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg
9,960,960,3338963,311,1416524797,Dan Brown,2000.0,"Angels & Demons",en-CA,3.85,2001311,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg
10,1885,1885,3060926,3455,679783261,Jane Austen,1813.0,Pride and Prejudice,eng,4.24,2035490,2191465,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg